id,name,price,stock,description
1,Sabun Cuci Piring,34000.0,61,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
2,Kaos Polos Hitam,121000.0,20,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Hitam.
3,Sikat Gigi Soft,12500.0,21,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sikat Gigi Soft.
4,Buku Tulis 38 Lbr,17000.0,50,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
5,Deterjen Bubuk 1kg,50000.0,20,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Deterjen Bubuk 1kg.
6,Penggaris 30cm,13500.0,77,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penggaris 30cm.
7,Shampoo Anti-Ketombe,45500.0,49,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Shampoo Anti-Ketombe.
8,Penghapus,12000.0,80,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penghapus.
9,Sabun Mandi Cair,15000.0,133,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Mandi Cair.
10,Celana Jeans Biru,44000.0,123,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Celana Jeans Biru.
11,Susu UHT Cokelat,9000.0,118,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Susu UHT Cokelat.
12,Pulpen Hitam,3000.0,105,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
13,Buku Tulis 38 Lbr,17500.0,49,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
14,Tisu Wajah,59500.0,97,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
15,Roti Tawar,39000.0,134,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Roti Tawar.
16,Sandal Jepit,136000.0,124,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Sandal Jepit.
17,Sandal Jepit,78000.0,36,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Sandal Jepit.
18,Buku Tulis 38 Lbr,4500.0,134,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
19,Tisu Wajah,26500.0,142,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
20,Deterjen Bubuk 1kg,56000.0,44,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Deterjen Bubuk 1kg.
21,Buku Tulis 38 Lbr,16000.0,23,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
22,Sabun Cuci Tangan,15500.0,45,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Cuci Tangan.
23,Biskuit Krim,55500.0,60,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Biskuit Krim.
24,Pensil 2B,4000.0,52,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
25,Biskuit Krim,59000.0,40,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Biskuit Krim.
26,Kemeja Flanel,143500.0,103,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
27,Sabun Cuci Tangan,30500.0,147,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Cuci Tangan.
28,Roti Tawar,74500.0,30,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Roti Tawar.
29,Pembersih Lantai,55500.0,34,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Pembersih Lantai.
30,Air Mineral 600ml,39500.0,33,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Air Mineral 600ml.
31,Teh Celup,11500.0,100,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Teh Celup.
32,Pensil 2B,15000.0,124,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
33,Penghapus,18500.0,37,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penghapus.
34,Tisu Wajah,58000.0,21,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
35,Lampu LED 10W,23500.0,142,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Lampu LED 10W.
36,Pasta Gigi Herbal,34000.0,130,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Pasta Gigi Herbal.
37,Kaos Polos Merah,42000.0,116,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
38,Kaos Polos Hitam,130000.0,100,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Hitam.
39,Kaos Polos Merah,120000.0,114,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
40,Pulpen Hitam,14000.0,142,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
41,Buku Tulis 38 Lbr,17500.0,48,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
42,Kemeja Flanel,124500.0,97,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
43,Deodoran Roll-on,22000.0,38,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Deodoran Roll-on.
44,Pensil 2B,8000.0,70,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
45,Shampoo Anti-Ketombe,27000.0,44,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Shampoo Anti-Ketombe.
46,Teh Celup,18000.0,139,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Teh Celup.
47,Mie Instan Kari,63500.0,128,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Mie Instan Kari.
48,Lampu LED 10W,36500.0,123,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Lampu LED 10W.
49,Sabun Mandi Cair,24500.0,122,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Mandi Cair.
50,Penggaris 30cm,9000.0,106,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penggaris 30cm.
51,Kemeja Flanel,48500.0,62,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
52,Penghapus,6500.0,59,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penghapus.
53,Buku Tulis 38 Lbr,16000.0,49,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
54,Pelembut Pakaian 800ml,59500.0,134,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Pelembut Pakaian 800ml.
55,Tisu Wajah,27500.0,127,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
56,Pembersih Lantai,22500.0,36,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Pembersih Lantai.
57,Pulpen Hitam,19000.0,74,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
58,Buku Tulis 38 Lbr,14500.0,80,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
59,Minyak Goreng 1L,21000.0,63,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Minyak Goreng 1L.
60,Sabun Cuci Tangan,21000.0,71,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Cuci Tangan.
61,Kaos Polos Merah,70500.0,120,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
62,Parfum Cologne,22000.0,132,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Parfum Cologne.
63,Pensil 2B,9000.0,96,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
64,Minyak Goreng 1L,31500.0,139,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Minyak Goreng 1L.
65,Sabun Cuci Piring,31000.0,112,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
66,Shampoo Anti-Ketombe,10000.0,113,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Shampoo Anti-Ketombe.
67,Sabun Cuci Tangan,23000.0,58,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Cuci Tangan.
68,Kemeja Flanel,41000.0,127,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
69,Pulpen Hitam,15500.0,69,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
70,Beras Super 5kg,49000.0,102,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Beras Super 5kg.
71,Buku Tulis 38 Lbr,5000.0,116,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
72,Sandal Jepit,131500.0,54,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Sandal Jepit.
73,Kaos Polos Merah,46000.0,144,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
74,Tisu Wajah,15500.0,49,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
75,Pulpen Hitam,17000.0,131,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
76,Saus Sambal Botol,23000.0,107,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Saus Sambal Botol.
77,Sabun Cuci Piring,52500.0,88,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
78,Roti Tawar,7500.0,97,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Roti Tawar.
79,Deterjen Bubuk 1kg,27500.0,49,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Deterjen Bubuk 1kg.
80,Lampu LED 10W,55000.0,28,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Lampu LED 10W.
81,Deterjen Bubuk 1kg,27000.0,123,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Deterjen Bubuk 1kg.
82,Kemeja Flanel,42500.0,56,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
83,Sabun Mandi Cair,47500.0,131,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Mandi Cair.
84,Kaos Polos Putih,40500.0,62,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Putih.
85,Tisu Wajah,42500.0,115,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
86,Penghapus,14000.0,23,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penghapus.
87,Mie Instan Kari,17000.0,46,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Mie Instan Kari.
88,Kaos Polos Merah,75000.0,43,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
89,Kaos Polos Putih,101500.0,124,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Putih.
90,Kemeja Flanel,63500.0,129,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
91,Sabun Cuci Piring,45000.0,55,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
92,Pulpen Hitam,18500.0,58,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
93,Kaos Polos Hitam,146500.0,36,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Hitam.
94,Penggaris 30cm,10500.0,116,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penggaris 30cm.
95,Sabun Cuci Piring,53000.0,72,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
96,Sabun Cuci Piring,41500.0,140,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
97,Kaos Polos Putih,117000.0,103,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Putih.
98,Penggaris 30cm,19000.0,112,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penggaris 30cm.
99,Tisu Wajah,58000.0,80,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
100,Pensil 2B,11000.0,125,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
